@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Cristian ','Hola chicos, si les parece vayamos subiendo informacion para ir armando las respuestas'
?,'Mariano ','Dale, yo a la tarde puedo empezar!'
?,'Enzo ','Holaa!'
?,'Enzo ','Dsps dejo en los comentarios del doc algunas ideas para las respuestas'
?,'Mariano ','acabo de completar la 1, aunque creo que esta muy resumida, si alguien quiere agregar/editar algo adelante!'
?,'Manuel ','yo por ahora colgare un poco'
?,'Manuel ','por que el viernes tengo el pregi de inv'
?,'Manuel ','despues de que vuelva de eso'
?,'Manuel ','ayudo con todo ?'
?,'Manuel ','igual dejare los links para que lean si quieren de lo que encuentre'
?,'Tobias ','estaria bueno que a una determinada hora de hoy nos tomemos un rato y todos juntos empecemos y terminemos el tp . Avise el que pueda'
?,'Cristian ','hoy despues de las 8 estoy disponible'
?,'Tobias ','será a las 20 si estan de acuerdo'
?,'Mariano ','por mi a las 8 esta bien!'
?,'Enzo ','Si a partir de esa hora seguro estoy conectado'
?,'Tobias ','estan?'
?,'Mariano ','yo si, como va?'
?,'Enzo ','Vengo en 20 o media hora xq tengo q terminar unas cosas'
?,'Cristian ','yo tambien'
?,'Cristian ','vamos arrancado entonces'
?,'Tobias ','dale joya!'
?,'Cristian ','por ahora la 1 y la 3 estan mas o menos encaminadas'
?,'Cristian ','nos falta hablar de los ejemplos'
?,'Tobias ','a ver'
?,'Cristian ','para mi dos ejemplos faciles en los que se podria aplicar CBR es en el diagnostico medico y en el rol simliar a un juez'
?,'Mariano ','si, yo tambien estaba buscando de sistemas de recomendaciones!'
?,'Mariano ','dice al menos 3 ejemplos la consigna'
?,'Cristian ','sisi, me faltaba uno jaja'
?,'Tobias ','bueno elegimos 3 como para poner mas extenso y por ahi nombrar los otros tmb..'
?,'Tobias ','pero no explicarlos tanto.'
?,'Tobias ','aca en la pagina que estoy viendo'
?,'Tobias ','hay como 6 ejemplos que estan bastante explicados'
?,'Enzo ','Aca eatoy'
?,'Enzo ','Estoy'
?,'Enzo ','Pro esos ejemplos por ahi no explicarlos .con esos nombres'
?,'Enzo ','Y darle.algo medio general con el tipo de trabajo'
?,'Enzo ','No se q opinan'
?,'Enzo ','??'
?,'Cristian ','si, te entiendo. me parece que tenes razon con los que decis'
?,'Tobias ','si yo tmb..'
?,'Enzo ','Xq es demasiado copy paste jajajaa'
?,'Tobias ','el tema es que estan desarrollados recontra en base a lo que son cada uno'
?,'Cristian ','podriamos hablar en forma general por ejemplo de crb en derecho y dar como un ejemplo puntual HYPO'
?,'Tobias ','jajaja sisi.. claaaaro.. obvio que la onda es poner : se puede usar en sistemas de derecho como el ejemplo de : Hypo'
?,'Tobias ','y ahi desarrollarlo.. pero si hay que cambiar todo el texto y hablar de hypo como algo generico creo que nos estamos complicando al pedo jaja'
?,'Cristian ','yo si quieren voy armando algo redactado con mis palabras sobre derecho'
?,'Cristian ','no se si alguien ya lo esta haciendo y sumamos lo que pegaron en el decumento'
?,'Tobias ','claro.. la onda seria poner algo de eso antes de desarrollar ese ejemplo puntual no?'
?,'Cristian ','claro'
?,'Cristian ','como una pequeña introduccion, hablar como funcionaria en esa area'
?,'Cristian ','y despues le ponemos un ejemplo puntual pero sin desarrollar mucho mas'
?,'Enzo ','Pero anda editandolo aji mismo en el doc'
?,'Cristian ','ah buenoo'
?,'Manuel ','yo recien vi esto'
?,'Manuel ','pero me sumo'
?,'Manuel ','ahora me pongo a leer que pusieron y toda la bola'
