@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Tomás ','hola gente'
?,'Tomás ','no se que dia prefieren para hacer esto'
?,'Tomás ','yo que lo tenemos que entregar el sabado diria de hoy o mañana'
?,'Tomás ','vayan diciendo despues horarios y demas'
?,'gabriela ','yo podria mañana hoy se me complica'
?,'gabriela ','avisen cuando pueden!'
?,'gabriela ','a la hora que quieran'
?,'Ignacio ','cuando quieran por mi'
?,'Bruno ','Yo podría mañana'
?,'Tomás ','mañana a la mañana les parece entonces?'
?,'Tomás ','tipo 10?'
?,'Tomás ','de ultima a la tarde tmb puede ser, si alguien no puede'
?,'Andres ','que opinan si lo arrancamos tipo 8?'
?,'Andres ','asi no colgamos'
?,'Bruno ','Yo laburo hasta las 5 aprox'
?,'Tomás ','mañana a la tarde entonces'
?,'gabriela ','okay a las 5.30 les parece?'
?,'Ignacio ','dale, a la tarde'
?,'Andres ','bueno dale tipo 5 lo arrancamos'
?,'Ignacio ','chicos, ahi busque informacion y arme la 1 y la 2, revisenla'
?,'Tomás ','ah te adalanteste'
?,'Tomás ','la 1 me parece bien'
?,'Tomás ','la 2, ya que aclara las diferencias en diferentes situaciones, podriamos escribir abajo la idea general de las diferencias'
?,'gabriela ','ahora las miro taba leyendo un poco para entrar en tema'
?,'gabriela ','esta bien la 1 lo que si le cambiaria algunas palabras un poco..asi queda mas con nuestras palabras pero el contenido esta bueno'
?,'gabriela ','ahora cuando se conecten los que faltan vemos que dicen'
?,'Tomás ','si'
?,'gabriela ','y la 2 nose, pq entiendo que esta bien lo de las diferencias de aprendizaje, pero creo que con una respuesta mas corta entre las diferencia de un trabajo colaborativo y uno cooperativo bastan'
?,'Tomás ','por eso decia de escribir abajo una respuesta asi general'
?,'gabriela ','claro eso'
?,'gabriela ','ahi el primer parrafo de la uno le cambie algunas palabras..lo pongo abajo del parrafo original asi lo miran'
?,'Tomás ','ah si, posta que cambia bastante'
?,'gabriela ','les parece bien ese parrafo como quedo?'
?,'Tomás ','por mi si'
?,'gabriela ','y el segundo parrafo estaba bien,,sacaria lo de la expresion del aprendizaje hasta tema capaz'
?,'Tomás ','si sacas eso habira que sacar tmb la ultima oracion'
?,'gabriela ','sii tenes razon..pq viste que cuando comienza ese parrafo ya dice que comparten eso'
?,'Tomás ','si'
?,'gabriela ','ahi esta'
?,'gabriela ','dejo el original para que lo miren?jaj'
?,'Tomás ','ahi lo comente'
?,'gabriela ','joya'
?,'Tomás ','jaja no se conecta nadie mas'
?,'gabriela ','creo que por ahora no jaj'
?,'gabriela ','agregue un ultimo parrafo si no te gusta sacalo'
?,'Tomás ','esta bien'
?,'gabriela ','bueno la 1 por mi ya estaria, que el resto cuando se conecte lo mire a ver que opina'
?,'Tomás ','dale, si'
?,'Tomás ','estaba buscando info para la 2, y encontre esto'
?,'Tomás ','http://1.bp.blogspot.com/_FHMtLHIwI3s/SuZPiXNrPPI/AAAAAAAAAEg/-tIorFsCQKE/s400/Slide1.jpg'
?,'gabriela ','a ver'
?,'Tomás ','asi como resumido lo que esta ya escrito en la 2'
?,'gabriela ','si me gusta'
?,'gabriela ','toy leyendo para la 2'
?,'gabriela ','igual lo que encontraste esta bueno'
?,'Tomás ','si yo estoy escribiendo lo que vimos'
?,'gabriela ','ok'
?,'Andres ','hola que tal?'
?,'Andres ','estuve viendo la 1'
?,'Tomás ','hola'
?,'Tomás ','1 mas vamos'
?,'Andres ','y tiene variios destellos de wikipedia jaj'
?,'gabriela ','hola!y que te parece?'
?,'Andres ','pero la definicion esta perfecta'
?,'Andres ','le agregaria que el auge del trabajo colaborativo vino de la mano con el internet'
?,'gabriela ','viste que estaba la original arriba y la cambiamos un poco, y le agregue unas cositas de otras pag'
?,'gabriela ','si agregalo'
?,'Andres ','dale, ahora veo como meterlo'
?,'Andres ','ah y ayer habia pensado una definicion pero no queria spoilearlos ya que habiamos quedado en juntarnos hoy pero me conecte medio tarde para mostrarselas jaja'
?,'Tomás ','jajaja'
?,'Andres ','se las dejo por si la ven productiva'
?,'Andres ','El trabajo colaborativo es un metodo de trabajo determinado por un grupo homogeneo de personas que consiste en la'
?,'Andres ','planificacion, implementacion y ejecucion de un conjunto de pasos a seguir con el fin de cumplir un objetivo en comun.'
?,'gabriela ','si ponemos esa, tendria que ir en vez del primero parrafo capaz'
?,'gabriela ','osea hasta lo de metas comunes'
?,'Andres ','claro. yo lo digo porque lei en wikipedia y en unas pags mas y ponele, la parte enseñanza-aprendizaje es de ahi'
?,'Andres ','o la parte de que los aspectosmas importantes son la ocnfianza, el compromiso y eso'
?,'Andres ','es decir, son textuales'
?,'gabriela ','tengo una idea ponemos eso en vez de ese parrafo, y le agregamos que lo hacen a travez de comentarios, bla, bla..asi mira'
?,'Tomás ','podria ser, remplazar ese parrafo'
?,'Andres ','dale buena idea'
?,'gabriela ','algo asi?'
