@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,Emmanuel,Hola.
?,Emmanuel,'Estuve investigando y complete un poco los ejemplos y el punto 3.'
?,Emmanuel,'No se si estará bien justificado.'
?,Emmanuel,'Voy a estar conectado por cualquier cosa.'
?,Emmanuel,•
?,Maxi,'Para mi esta bien, a ver si los chicos que faltan pueden agregar algo más de ser necesario'
?,Maxi,•
?,Emmanuel,Hola.
?,Emmanuel,'Voy enviando el tp1 si quieren.'
?,Emmanuel,'No se quieren agregar algo mas?'
?,Emmanuel,•
?,Maxi,'Dale, iba a decir lo mismo'
?,Maxi,•
?,Emmanuel,'Voy agregando los nombres en el documento'
?,Emmanuel,'Esperamos un poco y lo enviamos mas a la tarde'
?,Emmanuel,•
?,Maxi,'Dale, yo deje un comentario ayer y nadie contesto asique dudo que quieran agregar algo más.'
?,Maxi,'Pero si esperemos por las dudas.'
?,Maxi,'Si no aparecen para las cuatro ya fue'
?,Maxi,•
?,Maxi,'Che mandalo'
?,Maxi,'O querés que lo mande yo?'
?,Maxi,•
?,Emmanuel,'Mandalo si podes.'
?,Emmanuel,'Ahora yo no puedo'
?,Emmanuel,•
?,Maxi,'Dale no te hagas drama'
?,'Baltasar Solanilla',Buenas!
?,'Baltasar Solanilla','Alguien conectado?'
?,'Adrian Quevedo','Hola chicos mi nombre es Adrian Quevedo, estoy de acuerdo con Baltasar en que la idea es trabajar directamente sobre google docs utilizando todo lo que este a nuestra dispocicion en google docs'
?,'Adrian Quevedo','yo ya busque informacion en sobre learning machine ahora subo el material y hago una introducion'
?,'Adrian Quevedo','si ven algo incorrecto modifiquen y agreguen lo que quieran'
?,'Baltasar Solanilla','Bueno dale!'
?,'Baltasar Solanilla','De a poco vamos apareciendo, faltan 2.'
?,'Adrian Quevedo','si, yo lo vi ayer y empece a buscar algo de informacion sobre el punto 1 y algo encontre aunque no mucho. esperemos aparescan todos'
?,'Adrian Quevedo','Pablo Velazquez se ha unido al chat de grupo.'
?,'Adrian Quevedo','acá les envió la información que utilice'
?,'Adrian Quevedo',http://www.dc.uba.ar/materias/aa/2011/cuat2
?,'Adrian Quevedo','es del departamento de computacion de la UBA asi que creo debe estar bien'
?,'Adrian Quevedo',http://dis.unal.edu.co/~fgonza/courses/2007-I/ml/
?,'Adrian Quevedo','las filminas introduccion I y II'
?,'Pablo Velazquez','Buenisimo yo estaba leyendo exactamente eso'
?,'Adrian Quevedo',http://www.lsi.upc.edu/~bejar/ia/transpas/teoria/6-AP-aprendizaje.pdf
?,'Pablo Velazquez','hagamos en el pie del doc unos links de referencia?'
?,'Adrian Quevedo','dale sisi yo me base en todos link para hacer esa definicion si alguno utiliza alguno mas agregelo'
?,'Adrian Quevedo','y por supuesto tambien use wikipedia'
?,'Adrian Quevedo','http://es.wikipedia.org/wiki/Aprendizaje_autom\%C3\%A1tico'
?,'Pablo Velazquez','Durante la última teoría se mencionó el tema Aprendizaje de Máquinas (machine learning) como parte del área de Inteligencia Artificial.'
?,'Pablo Velazquez','Buscar información sobre machine learning y redacten con sus palabras una definición de machine learning.'
?,'Pablo Velazquez','Al final del doc hay varios links de referencia para leer, tambien se pueden agregar! como para que caa uno lea y saque en limpio que entiende por \"Machine Learning\"'
?,'Pablo Velazquez','Chicos nos habilitaron el chat de grupo en hangouts por si lo queremos usar!! que les resulta mas comodo?'
?,Pablo,'Estamos todos en el grupo del chat'
?,Pablo,'Ahora voy a avisar por google docs que podemos usar este chat'
?,Pablo,•
?,Adrian,'Ami ya me llego el la invitación creo que les fue enviada a todos'
?,Adrian,•
?,Juan,chicos
