@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Herminio Hernandez','Yael como va?'
?,'Herminio Hernandez','Yamil, disculpa.'
?,'yamil lacoste','jaja esta bien'
?,'yamil lacoste','bien vos?'
?,'Herminio Hernandez','Bien bien. No se si fuiste a la ultima clase, pero eso dos casos son los que llegue a escribir.'
?,'Herminio Hernandez','a tomar nota digams.'
?,'yamil lacoste','si fui'
?,'yamil lacoste','ahi te digo mas o menos lo que anote'
?,'Herminio Hernandez','Oka!'
?,'yamil lacoste','hay ciertas variables que son conocidas como agentes inteligentes, estos agentes inteligentes son un subtipo del agente personal, y se le pueden aplicar aprendisaje para que sean mas inteligente.'
?,'yamil lacoste','El aprendisaje se hace, cuando la informacion no la tenemos y esta basado en redes bayesianas y razonamiento basado en casos.'
?,'Herminio Hernandez','Tengo lo mismo. Y alguna aotacion mas'
?,'Herminio Hernandez','Esperemos luego a que se conecte el resto para ver si anotaron o recuerdan el 3er caso. Respecto a la tercera pregunta'
?,'yamil lacoste','nono, me parece que no dijo mucho mas, porque despues hablo del algoritmos geneticos, multiagentes, analisis de la informacion pero asi por arriba'
?,'Herminio Hernandez','Si, mucho quedo en el aire es verdad.'
?,'yamil lacoste','Lo de Prolog dijo que habiamos usado prolog implementado en java.'
?,'yamil lacoste','pero recuerdo algo de que una variable utilizaba prolog'
?,'yamil lacoste','vos anotaste algo de eso?'
?,'Herminio Hernandez','sisi, tengo eso anotado jaja que combinando los métodos de java y la inteligencia de prolog, los metodos de java los "convertia" a un conjuntos de reglas prolog'
?,'Herminio Hernandez','Lo que tengo anotado'
?,'yamil lacoste','ahh oka, todo sirve.'
?,'Herminio Hernandez','Eso conformaría un agente inteligente'
?,'Herminio Hernandez','lo que no tome nota y no recuerdo es si a un agente inteligente se le podía aplicar aprendizaje.'
?,'yamil lacoste','sisi'
?,'yamil lacoste','que es lo que te dije mas arriba que habia anotado'
?,'Herminio Hernandez','Ahh disculpa, no lo había entendido entonces. que boludo :S bueno entonces podríamos formular una respuesta con esa info no te parece?'
?,'yamil lacoste','tendria que investigar un poco mas del tema'
?,'yamil lacoste','para armar una mejor conclusion'
?,'Herminio Hernandez','sisi, dale. che leiste la segunda? que te parece?'
?,'Herminio Hernandez','yo ahora me veo algo y trato de escribir la respuesta 3'
?,'yamil lacoste','Es que no se porque estas describiendo los metodos por los cuales esta basado el aprendisaje y te piden aplicaciones'
?,'yamil lacoste','eso lo dejaria para la 1'
?,'yamil lacoste','para definir lo que es el aprendisaje de maquinas'
?,'yamil lacoste','y en la 2 pondria:'
?,'yamil lacoste','un ejemplo tonto seria el aprendisaje de un robot que hable'
?,'yamil lacoste','que pueda incorporar nuevas palabras'
?,'yamil lacoste','y ahi utilizariamos el razonamiento basado en casos'
?,'yamil lacoste','vos que opinas?'
?,'Herminio Hernandez','claro, tenes razon. me hiciste acordar que tambien habia dado el ejemplo de un medico recien recibido y uno ya con años de profesion, que se diferenciaban por la experiencia.'
?,'yamil lacoste','ahh clarooo'
?,'yamil lacoste','esa es buena'
?,'yamil lacoste','te acordas que dijo algo de una aplicacion que le ponias los sintomas y te decia las posibles enfermedades que podia tener el paciente'
?,'Herminio Hernandez','eso mismo jaja porque el chabon no es una maquina jajaja pero si, lo de la plicacion va como piña jaja'
?,'Herminio Hernandez','la del robot tambien es buena, yo lo tomaria como un asistente personal. el google now, siri y cortana,'
?,'yamil lacoste','y no habia dicho algo de una agenda personal?'
?,'Herminio Hernandez','a medida que vos le vas agregando cosas el asistente te va dando diferentes resuestas con el correr del tiempo, como que va conociendo al usuario.'
?,'Herminio Hernandez','Sisi, lo de la agenda lo dijo'
?,'yamil lacoste','joya, ahi mas o menos podriamos tener las tres aplicaciones que piden, igual hay que buscar mas informacion para poder dar una buena definicion en la pregunta uno.'
?,'Herminio Hernandez','oka, dale.'
?,'yamil lacoste','investigo un toque'
?,'yamil lacoste','y trato de subir lo que encuentre'
?,'Herminio Hernandez','queres que las vaya copiando mientras?'
?,'Herminio Hernandez','las aplicaciones'
?,'yamil lacoste','dale'
?,'yamil lacoste','para que nos quede, y que la podamos mejorar despues'
?,'Herminio Hernandez','entonces agrego la aplicacion para medicina, el asistente personal, y el robot?'
?,'yamil lacoste','oka'
?,'yamil lacoste','me parece bien'
?,'Herminio Hernandez','Anda viendo que te parece la respuesta y decime no mas.'
?,'Herminio Hernandez','che voy buscar mas informacion, para poner aunque sea un caso de redes bayesianas'
?,'Herminio Hernandez','en donde se pueda aplicar'
?,'Herminio Hernandez','ahhh tambien menciono de como trabajaban los buscadores web como google'
?,'Herminio Hernandez','ese va de una, ahora veo bien y lo cargo al doc'
?,'yamil lacoste','de ese no me acuerdo que dijo'
?,'Herminio Hernandez','que el motor de busqueda iba aprendiendo de nuestras busquedas, se aplica redes bayesianas creo. investigo un toque y te digo'
?,'yamil lacoste','por que decis que utiliza redes bayesiana?'
?,'yamil lacoste','http://www.ia.uned.es/~fjdiez/docencia/videos-prob-dec/3.2-Ejemplos-rb.pdf'
?,'yamil lacoste','mira'
?,'Herminio Hernandez','no, bancame, pense cualquiera, olvida jaja'
?,'yamil lacoste','en ese ejemplo usa redes bayesianas'
?,'yamil lacoste','para el caso de las enfermedades que deciamos'
?,'yamil lacoste','ahi tenes un ejemplo para poner'
?,'Herminio Hernandez','joya, ya tenemos ese.'
?,'yamil lacoste','seria entonces de redes bayesianas'
?,'Herminio Hernandez','si.'
?,'Herminio Hernandez','seria redes.'
?,'yamil lacoste','El diagnostico de problemas de usuarios de windows es otra aplicacion, que se realiza por medio de redes bayesianas'
?,'Herminio Hernandez','ponemos eso?'
?,'yamil lacoste','podriamos ponerlo, pero ya pusimos el de las enfermedades que es muy similar'
?,'yamil lacoste','tendriamos que buscar alguno de razonamiento basado en casos'
?,'yamil lacoste','quizás?'
?,'Herminio Hernandez','claro porque el ejmplo que dio la profesoras de la experiencia'
?,'yamil lacoste','lo comentamos al de ayuda de windows como otra aplicacion de redes bayesianas'
?,'yamil lacoste','pero nada mas'
?,'Herminio Hernandez','era el de los doctores, entonces yo pense que el de la aplicacion de medicina era igual'
?,'Herminio Hernandez','Emm dale dale, se lo comentamos como para poner algo mas.'
?,'yamil lacoste','el de google que nombraste hoy'
?,'yamil lacoste','capaz que es razonamiento basado en casos'
?,'yamil lacoste','porque va guardando informacion personal de acuerdo a las busquedas que hagas'
?,'yamil lacoste','en diferentes casos'
?,'yamil lacoste','voy a investigar un poco mas del tema y te lo confirmo'
?,'Herminio Hernandez','dale dale, yo estoy tratando de cerrar el del asistente personal'
?,'Herminio Hernandez','creo que ahi estaria el del asistente. hay que buscar otro ejemplo y listo'
?,'Herminio Hernandez','el de google no mas'
?,'yamil lacoste','hey'
?,'Herminio Hernandez','si decime'
?,'yamil lacoste','me entro una duda en cuanto a todo lo que dijimos hoy la aplicacion de las enfermedades'
?,'yamil lacoste','porque busque en que consistia el razonamiento en casos'
?,'Herminio Hernandez','si es redes o experiencia?'
?,'yamil lacoste','y entra tambien en el caso de las enfermedades'
?,'yamil lacoste','sisi claro'
?,'yamil lacoste','o podria ser los dos'
?,'yamil lacoste','pero nose'
?,'Herminio Hernandez','claro. yo lo tome asi, pero podriamos porner que se le aplican amos metodos'
?,'Herminio Hernandez','ambos*'
?,'yamil lacoste','utilizar conocimiento específico de experiencias previas, es decir, situaciones de un'
?,'yamil lacoste','problema concreto (casos). Un problema nuevo (al decir nuevo nos referimos a nunca'
?,'yamil lacoste','antes tratado) es resuelto cuando se encuentra un caso pasado similar y se reutiliza en la'
?,'yamil lacoste','situación del problema nuevo'
?,'Herminio Hernandez','total tenemos ejemplos para justificar lo que decimos.'
?,'Herminio Hernandez','no habría problemas.'
?,'yamil lacoste','y si podria ser'
?,'Herminio Hernandez','claro, yo le puse ahi que si no se conocia la enfermedad se cargaba con los sintomas nuevos'
?,'yamil lacoste','me falta un toque mas de lectura en el tema, pero una primera conclusion seria que si'
?,'Herminio Hernandez','osea en la aplicacion de medicina?'
?,'Herminio Hernandez','la dejamos asi como estA?'
?,'Herminio Hernandez','yo diria que si, esta bastante completa y es lo que la profesora planteo en clases'
?,'Herminio Hernandez','le modificamos algo si queres pero la idea seria esa.'
?,'yamil lacoste','si creo que podria estar bien'
?,'yamil lacoste','Lo de los graficos hace referencia a las redes bayesianas'
?,'yamil lacoste','porque queda colgado'
?,'Herminio Hernandez','le aclaramos que se aplican ambos metodos. todo es aprendizaje igual'
?,'Herminio Hernandez','estaria ehh jaja'
?,'yamil lacoste','jajaja'
?,'Herminio Hernandez','bastante completa quedo.'
?,'yamil lacoste','bueno'
?,'Herminio Hernandez','la del asiste personal la leiste?'
?,'yamil lacoste','si'
?,'yamil lacoste','ese en que aprendisaje entra?'
?,'yamil lacoste','en casos?'
?,'yamil lacoste','buena la foto'
?,'yamil lacoste','que clavaste'
?,'Herminio Hernandez','jaja see la encontré ahí jaja'
?,'Herminio Hernandez','sisi se palica aprendizaje al calendaro digamos'
?,'Herminio Hernandez','a medida que nosotros agregamos citas con fecha y hora'
?,'Herminio Hernandez','al calendario el asiste va tomando conocimiento de lo qu tenemos que hacer'
?,'yamil lacoste','si esta'
?,'yamil lacoste','bien'
?,'Herminio Hernandez','joya'
?,'yamil lacoste','el para llegar a tiempo'
?,'Herminio Hernandez','faltaria el de google'
?,'yamil lacoste','no me gusta como queda'
?,'yamil lacoste','si le ponemos para optimizar o algo asi?'
?,'Herminio Hernandez','jaja oka lo vemos'
?,'yamil lacoste','bueno'
?,'Herminio Hernandez','sisi dale'
?,'Herminio Hernandez','para optimizar el tiempo y el recorrido'
?,'Herminio Hernandez','??'
