@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Pablo ',Buenas
?,'Lautaro ',Hola!
?,'Lautaro ','Por lo visto hay trabajo nuevo jaja'
?,'Mirko ',buenas
?,'Mariano ',buenas
?,'Pablo ','Yo mañana rindo metodologías. igual a las cinco estoy de vuelta'
?,'Mariano ','che, banca, que onda? ya se sabe que hay que hacer?'
?,'Pablo ','No creo que todavía no hay nada, tal vez sea para que se conozca el grupo :p'
?,'Pablo ','Nosotros recién hoy terminamos el ultimo práctico'
?,'Lautaro ','Me llego el tp nuevo'
?,'Mirko ','A mi también'
?,'Lautaro ','Gente, como andan?'
?,'Lautaro ','Tenemos tiempo hasta el sabado a las 18 para hacerlo.'
?,'Lautaro ','Que dia opinan para coordinar y hacerlo?'
?,'Lautaro ','Yo puedo creo que cualquier dia pero cuanto antes mejor'
?,'Pablo ','Me llegó el Doc.'
?,'Pablo ','Yo ahora rindo metodologias'
?,'Pablo ','Despues, estoy libre, menos a la tarde el jueves y viernes porque trabajo de 14 a 20'
?,'Mirko ','si quieren hoy a lat arde'
?,'Mirko ','o mañana a la tarde'
?,'Mirko ',bah
?,'Mirko ','seria a lanoche despues de las 20'
?,'Mirko ','o antes de las 14'
?,'Pablo ',ClAro
?,'Pablo ','Después tipo 7 u 8 les va?'
?,'Pablo ','Recién llego de rendir'
?,'Mirko ','por mi si'
?,'Pablo ','Ah dale, genial entonces'
?,'Pablo ','Yo aprovecho a dormir un rato jaja'
?,'Lautaro ','joya, mañana a las 7 entonces?'
?,'Mirko ','ah pense que hablabamos de hoy ?'
?,'Lautaro ','no se si hablan de hoy o mañana jajaj'
?,'Mirko ','por mi lo antes posible'
?,'Lautaro ','puedo en ambos casos'
?,'Mirko ','si es hoy mejor'
?,'Mirko ','yo tambien'
?,'Mirko ','puedo cualquiera de los dos dias'
?,'Pablo ','?'
?,'Lautaro ','Hay un pequeño detalle que no contemplamos, hoy juega river a las 7 jaja'
?,'Lautaro ','No les molesta si lo hacemos mañana a las 7?'
?,'Mirko ',Jaja
?,'Mirko ','A mi no ?'
?,'Lautaro ','?'
?,'Mariano ','listo, mañana (Y)'
?,'Pablo ',Hola
?,'Pablo ','No era hoy tambien chicos?'
?,'Mirko ','calculo que es solamente mañana'
?,'Mirko ','que nos ponemos a hacerlo'
?,'Pablo ','Ah oka oka'
?,'Mirko ','son 3 preguntas tranqui'
?,'Mirko ','en un rato lo hacemos'
?,'Pablo ','Ahh oka oka'
?,'Pablo ',jaja
?,'Pablo ','A las 20?'
?,'Pablo ','Ahi lei arriba.'
?,'Pablo ','A las 7 nos vemos entonces che'
?,'Mariano ','buenas, ya estoy yo (Y)'
?,'Mirko ','yo tambien'
?,'Lautaro ',Estoy!
?,'Mirko ',bueno
?,'Mirko ','esperamos un toque mas'
?,'Mirko ','y arrancamos?'
?,'Mariano ',dale
?,'Mirko ','pablo sabia, despues alfedro no contesto nunca, asique no debe haber visto este chat'
?,'Mirko ','?'
?,'Lautaro ','oka oka ?'
?,'Mirko ',emmm
?,'Mirko ','bueno si quieren vamos arrancando jaja'
?,'Lautaro ','jaja dale, empecemos buscando info nomas'
