@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Andres','fa'
?,'Andres','de que me perdí?'
?,'Andres','ah, ahi lei'
?,'Andres','despues leo todo y reviso'
?,'Mariano','hola, como andan?'
?,'Troffer','desde'
?,'Troffer','No tendría que ser un poco mas resumido? Pide una definicion'
?,'Mariano','Puede ser, la parte de reconocimiento de caracteres y captcha de google se podrian mover al punto 2'
?,'Troffer','Puede ser ,me parece que esta quedando el punto 1 muy cargado de información en comparación de los otros'
?,'Andres','Mañana después del recu me pongo a revisar todo'
?,'Mariano','joya! creo que el punto 1 ya esta bastante bien, el 2 por ahi habria que organizarlo un poco y el 3 si habria que ampliarlo'
?,'Andres','dale, mañana lo veo'
?,'Mariano','ahi estuve acomodando el punto 2, creo que el 1 y 2 (sacando algunos detalles) ya estarian bastante bien'
?,'Troffer','Encontre esta pagina http://machinelearningmastery.com/best-programming-language-for-machine-learning/ donde habla de los mejores lenguajes para machine learning'
?,'Andres','bueno, ahora me pongo a revisar todo'
?,'Andres','a todo esto, hay dos chabones que ni aparecieron'
?,'Troffer','Creo que los grupos no son de 5'
?,'Andres','en el mail que nos mandaron se puede ver quienes estan en el grupo'
?,'Andres','faltan berruti y sergio arrieta (que se dio de baja segun lo que puso en el grupo)'
?,'Mariano','supongo que es el riesgo de hacer un trabajo con grupos random, igual por lo que entendi en el resto de los trabajos los grupos van a cambiar!'
?,'Andres','sisi, pero bueno, aunque sea podian aparecer y decir "che, yo no lo voy a hacer el tp", aunque sea por respeto al resto del grupo'
?,'Mariano','es verdad, igual el trabajo esta muy en el medio de los parciales, supongo que por eso algunos no aparecieron!'
?,'Sergio','hola disculpenme que ando medio colgado con el tp pero la verdad no cazo una con esto de machine learning, solo pude completar un par de cosas pero porque ya tenia idea de antes.tratare de ver si puedo avanzar y aportar algo aunque sea'
?,'Mariano','gracias!'
?,'Andres','buenisimo'
?,'Mariano','ahi complete el punto 3, cualquier cosa me avisan!'
?,'Matias','chicos, una preguntita, ya alguien se encargó de mandar el pdf? si no, avisen y lo mandamos'
?,'Mariano','tenia entendido que habia tiempo hasta el sabado'
?,'Matias','sisi, pero como vi que ya consideraban que estaba listo, podriamos pegarle una leida y si a todos les parece bien lo mandamos'
?,'Mariano','ahi borre los comentarios que habia en el documento, por mi ya esta bastante bien!'
?,'Matias','dale barbaro'
?,'Matias','le borro la parte de arriba (pero no las preguntas) para que entre todo en dos hojas?'
?,'Mariano','dale!'
?,'Mariano','google docs tiene un "downaload as pdf"'
?,'Matias','sisi, barbaro, lo mando entonces'
?,'Mariano','joya'
?,'Matias','con el “T1_GRUPO_Nro” en forma'
?,'Matias','que pongo ahi che?'
?,'Matias','nosotros que grupo seriamos?'
?,'Andres','Dale buenísimo'
?,'Andres','Grupo 1 creo'
?,'Mariano','si 1'
?,'Matias','listo chicos, enviado'
?,'Andres','No quedaron los comentarios en el pdf, no?'
?,'Andres','Los del costado'
?,'Matias','nono'
?,'Matias','quieren q se los mande?'
?,'Matias','lo mire antes de mandarlo, jeje'
?,'Andres','oka'
?,'Andres','dale mandamelo si podes asi me queda jaja'
?,'Matias','uh no sé cómo mandarte algo por acá, pero si pones download as pdf es exactamente como lo tengo yo'
?,'Matias','ya está en la pagina modificado todo bien piolin'
?,'Andres','bueno, oks'
?,'Matias','chicos, me pidieron q reenvie el documento con los nombres de los integrantes. mande con los q estamos acá'
?,'Andres','Oka'
?,'Troffer','Ok'
