@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Camila ',Recibido.
?,'Alfonso ','Recibido acá también'
?,'Kevin ','se refieren al docs?'
?,'Alfonso ','Si, pidieron que confirmemos la recepción por acá'
?,'Kevin ',recibido
?,'Kevin ','se, ahí lo vi'
?,'Nadia ','tambien recibido'
?,'Camila ','podriamos arreglar un horario para entrar todos e ir haciendolo'
?,'Camila ','yo estoy libre hasta el viernes a la noche. si no logramos coincidir con los horarios lo hacemos mediante comentarios. despues diganme que les parece'
?,'Kevin ','yo no tengo problema, mañana a las 18 pueden todos?'
?,'Camila ','dale, a mi me queda perfecto'
?,'Alfonso ','Si, me parece bien.'
?,'Alfonso ','Yo mañana rindo un final y a partir de ahí estaría libre'
?,'Alfonso ','Si, calculo que a las 18 ya estoy'
?,'Kevin ','Genial, faltan dos mas y listo'
?,'Camila ','buenisimo, si'
?,'Camila ','esperemos que confirmen'
?,'Camila ','y mientras podemos ir buscando info como hizo alfonso'
?,'Kevin ','Yeap, despues de comer busco cosas :P'
?,'Camila ','dale ?'
?,'Camila ','yo tambien, voy viendo'
?,'Kevin ','Suerte mañana, alfonso!'
?,'Camila ',eso!
?,'Camila ','me voy a cenar, hablamos luego, saludoss'
?,'Kevin ','Dale dale ;) beso'
?,'Alfonso ','Gracias !'
?,'Kevin ',:P
?,'Alfonso ','buenisimo, nos estamos hablando.'
?,'Alfonso ','Mañana a las 18 nos ponemos, por mas que el resto no confirme podemos ir arrancando.'
?,'Alfonso ','Aparte yo el viernes viajo y parte del día lo tengo perdido'
?,'Kevin ','Okay okay, mañana a las 18 largamos, igual seguro que confirman antes :p no te hagas drama!'
?,'Nadia ','bueno si termino con el compilador a las 18 me conecto'
?,'Alfonso ','Yo estoy en la facultad todavía, me dan la nota y salgo para casa'
?,'Kevin ','dale, dale'
?,'Kevin ','estuvo jodido el examen?'
?,'Camila ','yo ya estoyy, avisen'
?,'Kevin ','yo también ?'
?,'Camila ','ahi le escribi por fb a alberto que no se si habra llegado a ver el mail'
?,'Kevin ','bien bien'
?,'Kevin ','me olvidé de avisarle ayer ?'
?,'Camila ',uhh
?,'Camila ','bueno ahi le dije'
?,'Camila ','no tenes el celular o algo no?'
