@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
1,'matias ','buenas , che buscar uno horario en el que poder todo . ',0,0,2,2,2,2,0,1,1,2,0,0
6,'matias ','así liquidar el trabajo el antes posible le ir ? ',1,2,2,1,2,1,0,0,0,1,0,0
1,'Cristian ','hola ! ! ',0,0,0,0,0,0,0,1,0,2,0,0
3,'Cristian ','siso , me parecer bien ! ',0,1,0,1,1,1,0,0,0,2,0,0
1,'Antonella ','hola ',0,0,0,0,0,0,0,1,0,0,0,0
3,'Antonella ','por mi estar bien cualquiera din después de el 18 ',0,2,3,1,1,0,0,0,2,0,1,0
5,'matias ','a le joya , hacer uno poco hoy tipo 18 30 ? cosa de tener lo medio liquidar antes que jugar rever y mañana a cualquiera hora lo terminar si quedar algo le ir ? ',0,4,2,4,9,6,3,0,2,3,2,0
1,MatiasT,'hola chico ! antes q nada saludar los ! ',0,1,0,1,1,2,1,1,0,2,0,0
6,MatiasT,'recién ahora poder ver el dock ! ',0,2,1,1,2,0,0,0,0,1,0,0
6,MatiasT,'ir a leer algo de inflo y a el 18 me conectar de nuevo ! salu2 ',1,0,1,1,3,2,1,0,4,1,2,0
6,'Lautaro ','yo ir a dejar algo \" hacer \" porque a el 18 sé me complicar uno boquita ',0,0,3,0,5,3,1,0,2,2,1,0
3,'Lautaro ','si no le joder ',0,1,0,0,1,1,1,0,0,0,0,0
1,MatiasT,'da le ! no haber problema ! el entrega ser el [S:??/??/??:??.??:??] ! ',0,1,2,2,3,1,0,0,0,3,0,1
6,'Lautaro ','.url. ? journal=rcci&page=article&op=view&path\%5B\%5D=19 ',0,0,0,0,0,0,0,0,0,2,1,0
6,'Lautaro ','razonamiento basar en caso o sistema basar en conocimiento ',0,0,0,4,2,0,1,0,2,0,0,0
6,'Lautaro ','usar prologá ',0,0,0,1,1,0,0,0,0,0,0,0
3,'Lautaro ','rolo foro durmiese ',1,0,0,2,0,0,0,0,0,0,0,0
2,'Lautaro ','jajay ',0,0,0,0,0,0,0,1,0,0,0,0
6,'Lautaro ','decir el libro ',0,0,1,1,1,0,0,0,0,0,0,0
3,MatiasT,'jefe ahora el leo ! ',0,1,1,1,0,0,0,1,0,1,0,0
3,MatiasT,'programacion_exploratoria : ',0,0,0,1,0,0,0,0,0,1,0,0
6,MatiasT,'me llegar el e-mail ! ',0,0,1,1,1,1,0,0,0,1,0,0
6,MatiasT,'tener q confirmar todo ! ',0,0,0,0,2,2,0,0,0,1,0,0
