@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Ivan ','Buenas'
?,'Franco ','Hola, lo estaba por crear justo'
?,'Adrian ','Hola. También estaba por crear el grupo'
?,'Juan Ignacio ','hola! como andan?'
?,'Adrian ','Hola chicos, en unos comentarios en el doc deje unos lino de trabajo colaborativo y cooperativo'
?,'Adrian ','Con esa ingo podríamos realizar el inciso 1 y 2'
?,'Franco ','Vamos a hacerlo todos juntos porque es corto y sino hay muvhos q no vamos a aportar'
?,'Adrian ','Sisi no escribí nada solo subí info'
?,'Franco ','Joya'
?,'Adrian ','Por eso iba a decir que estaría bueno coordinar algún día asi nos juntamos todos en el tp y aportamos entre todos'
?,'Franco ','Si creo q hay tiempo hasta el sabado y yo ese dia me voy asique hoy o mañana estaria bueno cocinarlo'
?,'Adrian ','Si para mi estado bueno tenerlo listo antes del finde si es posible mañana a la mañana jaja'
?,'Juan Ignacio ','Si para mi también'
?,'Juan Ignacio ','No tengo problemas'
?,'Adrian ','Si quieren pongamos mas o menos en que horarios podemos y vemos cuando podemos todos'
?,'Ivan ','yo puedo a la mañana pero tempra tipo 8. si no, despues de las 17.'
?,'Adrian ','Yo a la mañana no tengo drama es corto calculo que en 2 horitas hacemos todo!'
?,'Franco ','Dale mañana a las 8'
?,'Ivan ','?'
?,'Adrian ','Joya'
?,'Herminio ','como andan pibes?'
?,'Herminio ','joya mañana de 8'
?,'Herminio ','buenas'
?,'Herminio ','Como andab?'
?,'Adrian ','hola hermino todo bien'
?,'Adrian ','vos?'
?,'Herminio ','Bien bien! ?'
?,'Herminio ','vos che?'
?,'Adrian ','joya jaja'
?,'Herminio ','perfecto jaja che cuantos somos?'
?,'Adrian ','5 creo que somos'
?,'Franco ','Buenas'
?,'Herminio ','ahh joya. porque en el chat solo aparecemos 4.no han aceptado la invitación los que faltan!!'
?,'Herminio ','Hi Franco ?'
?,'Ivan ','bueenas'
?,'Adrian ','aparecen 4 porque vos no apareces jaja'
?,'Adrian ','buenas a todos'
?,'Herminio ','Uhhhh que pelotudo jajaja no dije nada. jajaja es la hora jajaja'
?,'Herminio ','che ya estamos todos creo para arrancar. cuando quieran largamos.'
?,'Adrian ','arranquemos nomas con la definicion si quieren'
?,'Herminio ','dale'
?,'Herminio ','Escribimos en el docs'
?,'Herminio ','nuestras definiciones'
?,'Herminio ','y vamos viendo con cual nos quedamos'
?,'Herminio ','oka?'
?,'Franco ','ahi pegue algo'
?,'Franco ','editamos'
?,'Juan Ignacio ','Gente perdonen.. Jeje me dormí'
?,'Juan Ignacio ','Ahí arranco!'
?,'Adrian ','no hay drama jaja'
?,'Franco ','son tan pavas las preguntas que mas somos y mas la complicamos me parece jaja'
?,'Adrian ','chicos el trabajo colaborativo me parece que es homogeneo no heterogeneo como estan poniendo jaja'
?,'Ivan ','heterogeneas las habilidades de los miembros'
?,'Ivan ','no el trabajo en si'
?,'Adrian ','aa sisi no habia visto que habias puesto en las habilidadews'
