@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Sofía Helena ','Hola chicos, cree nuestro chat, no estoy segura de como cambiarle el nombre a este grupo...'
?,'Sofía Helena ','Sofía Helena ha cambiado el nombre de la conversación a TP5_WG17'
?,'Sofía Helena ','Ya está.'
?,'Sofía Helena ','Cuando lo vayan viendo confirmen.'
?,'Pablo ',Estoy
?,'Pablo ','yo tenia el mismo problema'
?,'Pablo ',jaja
?,'Pablo ','bien ahi'
?,'Sofía Helena ',jajajaja
?,'Sofía Helena ','bueno, cuando lo vayan viendo todos podemos poner un día o un horario o un momento para empezar el trabajo'
?,'Pablo ','tal cual'
?,'Pablo ','igual es el tp mas facil me parece'
?,'Sofía Helena ','si, es corto y el 3 punto es contar nosotros como nos fue con esto... capaz que si coincidimos todos conectados y estamos un rato ya lo podemos hacer y terminar de una vez'
?,'Pablo ','si jaja'
?,'Pablo ','me acuerdo cuando flashe que jugar al juego de los dragones era el ultimo paso'
?,'Pablo ','y mandaron 4 practicos mas ?'
?,'Pablo ','dps me acorde que eran 5'
?,'Sofía Helena ','jajajjaa, yo pensé que contaba como tp también'
?,'Kevin ','Dale, ponemos un horario y lo terminamos'
?,'Sofía Helena ','?'
?,'Pablo ','Dale ustedes cuando pueden? no nos dieron fecha de entrega...'
?,'Sofía Helena ','Si, creo que hasta el 13'
?,'Sofía Helena ','pero no sé bien donde lo vi...'
?,'Sofía Helena ','ah, en la página de Exploratoria está'
?,'Sofía Helena ','Chicos una vez que finalicen el TP5 que deberán entregar el próximo sabado 13/12/14 deben enviar por mail un feedback del trabajo 4 y 5.'
?,'Kevin ','Hoy a las 17 pueden?'
?,'Pablo ','yo puedo estar online mas o menos mirando y opinando algo'
?,'Pablo ','pero muy a full no'
?,'Pablo ','porque estaria laburando'
?,'Sofía Helena ','más tarde pueden?'
?,'Pablo ','hay que entregar el sabado? jaaja que garron'
?,'Pablo ','no se el tema es que ahora somos 3 nomas, faltan 2'
?,'Pablo ','como para coordinar'
?,'Kevin ','Mas tarde sino'
?,'Kevin ','Tipo 20'
?,'Sofía Helena ','a mi me queda mejor tipo 20, esperemos a ver que pasa con los chicos que no vieron esto aun'
?,'Bruno ','A las 20!'
?,'Leonardo ','20 mas seguro'
?,'Kevin ','bueno, quedamos a las 20 entonces ?'
?,'Bruno ','cuando quieran empezar, nose si alguien leyo algo. parece facil'
?,'Kevin ','leí las consignas'
?,'Bruno ','jajaj igual'
?,'Kevin ','sin subestimarlo, parece bastante tranqui'
?,'Pablo ','yo estoy'
?,'Pablo ','che igual medio complicado para participar a full'
?,'Pablo ','pero voy a estar mirando.. opinando'
?,'Pablo ','dps meto mano'
?,'Kevin ','no te hagás drama'
