@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
1,'Bruno ','confirmar el recepción de el cocá correspondiente a el trabajo 3 . ',1,0,3,3,1,0,0,0,2,1,1,0
1,'Matias ','confirmar recepcione ',0,0,0,1,1,0,0,0,0,0,0,0
1,'yamil ','confirmar recepcione ',0,0,0,1,1,0,0,0,0,0,0,0
1,'Laura ','confirmar recepcione ',0,0,0,1,1,0,0,0,0,0,0,0
1,'Martin ','confirmar ',0,0,0,0,1,0,0,0,0,0,0,0
5,'yamil ','hola , estuve investigar uno poco y poner uno definición y dar uno ejemplo ',0,0,3,2,4,1,2,1,0,1,0,0
4,'yamil ','si haber alguno conectar y tener gana poder debatir uno toque ',0,0,1,2,5,1,2,0,0,0,0,0
6,'yamil ','http://catarina.udlap.mx/u_dl_a/tales/documentos/msp/posada_t_n/capitulo3.pdf ',0,0,0,0,0,0,0,0,0,0,1,0
1,'Laura ','ahora a el tarde lo mirar si quered podemos arreglar uno hora para conectar nos todo para hacer algo ',0,1,2,3,5,4,1,0,3,0,0,0
1,'Martin ','apta ',0,0,0,1,0,0,0,0,0,0,0,0
9,'Martin ','a que hg poder ? ',0,0,0,1,1,1,0,0,1,1,0,0
4,'Bruno ','cerca de el noche suponer que estar todo ',0,1,2,1,2,0,1,0,1,0,0,0
6,'Laura ','bueno tipo 7 poder ? ',0,0,0,1,1,0,0,1,0,1,1,0
1,'Bruno ','yo si . ',0,0,0,0,0,1,1,0,0,1,0,0
4,'Laura ','buen_is_i_m_o esperar a ver que decir el demos ',0,1,1,1,3,0,1,0,1,0,0,0
6,'Laura ','y arreglar uno bien el ha ',0,1,2,1,1,0,1,0,0,0,0,0
3,'Martin ','a le tipo 7 ',0,0,0,1,1,1,0,0,0,0,1,0
1,'Matias ','barbaron ',0,0,0,1,0,0,0,0,0,0,0,0
3,'Matias ','hoy a el 7 este bien por mi ',0,1,3,1,0,0,0,0,2,0,1,0
1,'Matias ','gracia ',0,0,0,1,0,0,0,0,0,0,0,0
7,'Laura ','hola ya llegar alguien ? ',0,1,0,0,1,1,0,1,0,1,0,0
1,'Matias ','estar ',0,0,0,0,1,0,0,0,0,0,0,0
1,'Matias ','como ir ? ',0,0,0,0,1,0,1,0,0,1,0,0
3,'Laura ','bien ',0,1,0,0,0,0,0,0,0,0,0,0
7,'Laura ','vos ? ',0,0,0,0,0,1,0,0,0,1,0,0
3,'Matias ','bien bien ',0,2,0,0,0,0,0,0,0,0,0,0
7,'Matias ','este serio el ante_ultimo trabajo no ? ',1,2,2,1,0,0,0,0,0,1,0,0
1,'Laura ','ni idea cuanto ser ',0,0,0,1,1,1,1,0,0,0,0,0
6,'Matias ','[??:5/1/1900:??.??:??] - 0:0 ',0,0,0,0,0,0,0,0,0,1,1,1
2,'Laura ','ah ',0,0,0,0,0,0,0,1,0,0,0,0
