@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'P E','Si es mejor para ustedes utilizar este chat, resolvimos que pueden usarlo.'
?,'P E','Claramente es mejor que el chat que ofrece Google Docs por persistir los mensajes.'
?,'P E','Deben usar este chat-room todos juntos, no por separado..'
?,'','Yo por lo que estuve viendo, no hay mucho para decir en la definición, osea mas que estudiar programas que aprenden para mejorar los resultados no se que podría'
?,'Nicolas Legui','aca estamos'
?,'','A lautaro no le aparece la invitación al grupo'
?,'Nicolas Legui','claro mas que nada de estudiar programas que aprendan por su cuenta, osea analicen mucha informacion o ejemplos y a partir de eso poder decidir'
?,'','Claro ejemplos y resultados anteriores también'
?,'','Fijate lo que escribí, está sin signos ni nada es para hacernos la idea'
?,'','Logre hacerlo andar!! jaja habia que actualizar una cosa del chat que tenia viejo'
?,'','Me respondieron rapidisimo los de la catedra'
?,'Nicolas Legui',jajajaj
?,'Nicolas Legui',bien 
?,'','Ahhh no lo ibas a encontrar nunca jajaja'
?,'Nicolas Legui','creo que ahí estariamos con las aplicaciones '
?,'','Dejamos 3 entonces nada mas?'
?,'','de ultima agreguemos 2 mas'
?,'','Asi si andamos medios flojos en algun punto con eso remontamos'
?,'','Y ahora?'
?,'','viene lo mas dificil, el 3 jaja'
?,'','ahi estoy leyendo el segundo papper que pasaron'
?,'Nicolas Legui','jajaj va a estar discutido el 3 '
?,'Nicolas Legui','habian dicho, algo que de usar se puede usar creo.. pero como que al manejar mucha cantidad datos '
?,'Nicolas Legui','hace que el backtracking no sea eficiente '
?,'Nicolas Legui','creeeeeo jajaja'
?,'','Es buena, podemos agregarle a esa idea que por mas que se hagan podas y demas nunca se llega a un sistema optimo cuando se manejan gran volumen de datos'
?,'Nicolas Legui','claro, ademas en la mayoria de los lugares leí que estos algoritmos usan gran cantidad de datos'
?,'','Bueno, si el resto esta de acuerdo le mandamos nomas'
?,'Nicolas Legui','dale, vemos como lo armamos mas o menos '
