@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'','sobre el backspace'
?,'','a mi me funciono'
?,'Emilio Bongiorno',👍
?,'','Que goma?'
?,'','XD.. no entendi el tip'
?,'Emilio Bongiorno','pone algo que te obstruya el de borrar'
?,'Emilio Bongiorno','cosa de no apretarlo inconcientemente'
?,'Emilio Bongiorno','yo deje el celu'
?,'Emilio Bongiorno','por ejemplo'
?,'','yo  escribo pa la mierda... sin el bs voy frito'
?,'',😛
?,'','Ya fue... mejor para el orto que afuera'
?,'Emilio Bongiorno','ni hablar jaja'
?,'Martin Lopez','ganamos esta aprtida y ya tendriamos las 2'
?,'Martin Lopez','las otras dos tiremos anillos y dados asi terminan rapido'
?,'','Deberá utilizar la aplicación, en la primer etapa hasta completar 4(cuatro) partidas completas (se requieren al menos 2 victorias)'
?,'Martin Lopez','la re puta madre'
?,'Emilio Bongiorno','nooo que pasooo qe pasoo'
?,'',XD
?,'','se desconecto'
?,'Martin Lopez','me saco'
?,'Martin Lopez','no estaba borrando'
?,'','   El portador del Anillo se ha desconectado'
?,'','no se borrra nada mas muchaho'
?,'','pone el celu arriba del backspace'
?,'','vamos que nos falta ganar una'
?,'',ec2tyt1q0k9
?,'Emilio Bongiorno',whatt¡??
?,'Martin Lopez','y le ponemos un 6'
?,'','ES CUALQUIERAAAAAAAAA'
?,'',ganamos...
?,'Martin Lopez','dos mas q no importa nada'
?,'',yeeehhhhhyy
?,'',ajjajajajaja
?,'Martin Lopez','ahora si tiremos el dado quiero ver q pasa'
?,'','Quien arma?'
?,'Martin Lopez',zve7o2bj4i
?,'','Deberá utilizar la aplicación, en la primer etapa hasta completar 4(cuatro) partidas completas (se requieren al menos 2 victorias)'
?,'','tenemos que seguir jugando?'
?,'','Sii.. a matarnos XD'
?,'Martin Lopez',si
?,'','ni idea'
?,'Martin Lopez','dos ams'
?,'Martin Lopez',mas
?,'','Dos mas rapidito, y ya'
?,'Emilio Bongiorno','hay que completar dos partidas mas'
?,'','al menos 4.. hay que llegar a las2'
?,'Emilio Bongiorno','no importa si ganamos o no'
?,'Emilio Bongiorno','eso entiendo'
?,'',ganadas
?,'','Quiero ser gandaf esta vez'
?,'','aalguno armo?'
?,'Martin Lopez',yo
?,'',zve7o2bj4i
?,'','jugemos la carta especial de una'
?,'',😛
?,'','U puro dado'
?,'','y puro dado...'
?,'','A bueeeee....'
?,'Martin Lopez','esto es malisimo!'
?,'','somos unos mostrosss'
?,'','Le mandamos fruta y salio con 24 puntos... es joda esto ?'
?,'','se deben acabar los turmos y random'
?,'Martin Lopez','esta en super mega facil'
?,'',(?)
?,'',jajajaja
?,'','Me siento insultado (?)'
?,'Martin Lopez','una mas'
?,'Martin Lopez','intentemos perder esta a ver si se puede'
?,'','posta? no fueron dos ya ?'
?,'','tratemos de perder, a vr si podeps'
?,'',XD
?,'Martin Lopez','3 y 3 ganadas'
?,'Martin Lopez','queda 1'
?,'','Somos muy grosos para este juego (?)'
?,'','cortamos un me pido un remiih para el casino'
?,'','hoy estoy de racha'
?,'Martin Lopez',4wfwb5d0a4i
?,'',da7?
?,'',jjajaaja
?,'','la concha de mi madre'
?,'','arrancamos de nuevo¡'
?,'','?'
?,'',arma
?,'',jajajajajaj
?,'Martin Lopez','q cree otro, el q crea se pone el anillo por lo visto'
?,'',qxapne45cdi
?,'','Ya fue... no voy nada a trabajar, sale un Age por Hamachi ?'
?,'',jajajaja
?,'Martin Lopez','no es tandom esto'
?,'Martin Lopez','es el orden en q entras'
?,'Martin Lopez','el personaje q te toca'
?,'Emilio Bongiorno','despues hay que contestar unas preguntas'
?,'Emilio Bongiorno',https://docs.google.com/open?id=1QLFMhCnaZ8JAMQaqfrpQlvdOy_Ug95vffzTHyw5ZDww
?,'Emilio Bongiorno','para que vayan pensando jaja'
?,'','no es al final la segunda vez que juguemos eso?'
?,'','en el segundo turno que todavia no reservamos'
?,'','Nos ponemos de acuerdo para reservarlo ya q estamos todos aca'
?,'',si
?,'Emilio Bongiorno','donde dice la fecha de entrega? no lo encuentro ahora'
?,'','Les parece bien el Viernes a esta hora ?'
?,'',nose
?,'','el viernes bvoy a estar complicado'
?,'','Yo temprano se me re complica cone l laburo'
?,'','el jueves de 18 a 20?'
?,'','no puedo'
?,'','Laburo hasta las 21hs'
?,'Emilio Bongiorno','nos durmieron los horarios copados que no son viernes'
?,'Martin Lopez','mañana a las 22?'
?,'Emilio Bongiorno','esta ocupado'
?,'Martin Lopez','viernes 20'
?,'Martin Lopez','quien juega?'
?,'','viernes 20 entonces..'
?,'Emilio Bongiorno','por mi esta bien'
?,'','viernes a las 20?'
?,'Martin Lopez',no
?,'Martin Lopez','a re q el lo habia dicho'
?,'Martin Lopez',si
?,'','no puedo'
?,'','Yo puede q si, peude q no, si no me rompen los huevos el cliente la puedo llegar a safar y estar'
?,'',ahhh
?,'',para
?,'Martin Lopez','hace la de robert deniro en analizate'
?,'','Pregunataba si era una pregunsta.. si viernes 20 == viernes a las 20Hs'
?,'','Y a la mñana bien temprano ? ponele el Miercoles de 8 a 10 ?'
?,'Martin Lopez','yo no puedo'
?,'Martin Lopez',😞
?,'Martin Lopez',' entro a las 8'
?,'','por mi joya'
?,'Emilio Bongiorno','bue perdimos'
?,'','Creo que me mori'
?,'','temprano de 8 a 10 ojo que me gusta!'
?,'','creoo que ya esya'
?,'Martin Lopez','paren q es lo q tenemos q hacer?'
?,'','Si cada vez que perdimos, cuenta como uno..'
?,'',😉
?,'','Al final me tuve q suicidar para q perdamos, vieron vieron...'
?,'Emilio Bongiorno','a mi me figuro que se desconecto creo'
?,'','hace 2:30hs que estamos con esta verga'
?,'Emilio Bongiorno','recien acabo de entender el juego creo'
?,'','Chicos, yo puedo o muy temprano o muy tarde, laburo de 10:30 a 21hs de Lun a Vie'
?,'Emilio Bongiorno','onda, no sabia que segun donde caian los conitos era lo que te daban (o creo)'
?,'','a mi me tiro que perdimos porque el activo se fue.. ptos:4'
?,'','(Yo jugaba por inercia)'
?,'Martin Lopez','yo de 8 a 5'
?,'','tenemos que volver a tener otra juntada, ahora nos piden jugar al menos 3 partidas, y ganar 2'
?,'Martin Lopez','pero si es hacer un tp en drive por ahi me meto un rato'
?,'','Tenemos q volver a jugar, no ?'
?,'','jugar de nuevo es'
?,'','En el proximo turno ?'
?,'','si, volver a jugar nuevamente'
?,'','i supouse'
?,'',https://docs.google.com/document/d/1_793Rj_oX1p1TlTFOP49irCK9qXet60dwtVYTf75G2I/edit?ts=560474e9#
?,'','lean este doc'
?,'Emilio Bongiorno','para el lunes 5 hay que completar el doc'
?,'','ok, bueno, que horario pueden todos ?'
