@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'103440089036463137197','CAtedra'
?,'103440089036463137197','consulta'
?,'P E','Buenas tardes !'
?,'P E',' '
?,'P E','En que podemos ayudarte ?'
?,'103440089036463137197','Estoy viendo entre mi correos enviados que nunca envie los feedbacks de os tranajo antiguos'
?,'103440089036463137197','puedo hacerlos todos y enviarlos todos juntos? '
?,'P E','si, copia la plantilla de los TP 4 y 5   modificale el número y envialas todas . El primer documento eran  sobre el grupo 1 y el del juego. El segundo sobre los tps 2 y 3 y el tercero sobre el 4 y el 5  envialos en pdf y el titulo que indique los trabajos que responde '
?,'103440089036463137197','genial, voy mirando los chat con mis compañeros de cada grupo para recordar como lo hicimos y en que tuvimos problemas.y esas cuestiones. muchas gracias.'
?,'P E','En la página de la cátedra encontras los links a la plantilla y a la ultima encuesta sobre el TP Final '
?,'103440089036463137197','Hola, ya envié los feedbacks de todos los tps mas la encuesta. Saludos. Herminio'
