@relation chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
positiva,tarea,'','faltar sede nomás ! ',1,0,0,1,1,0,0,0,0,1,0,0
positiva,tarea,'','h que hacer ?   ',0,0,0,0,1,0,1,1,0,2,0,0
positiva,tarea,'','lo posponer ?   ',0,0,0,0,1,1,0,0,0,2,0,0
positiva,tarea,'','yo dirima adelantar ',1,0,0,0,1,1,0,0,0,0,0,0
positiva,tarea,'','y que después se leer y si no este de_acuerdo_con algo se discutir ',0,2,1,0,2,3,4,0,1,0,0,0
positiva,tarea,'','como para ir tener uno base ',0,0,1,1,2,0,1,0,1,0,0,0
positiva,tarea,'','ser que el práctico se desarrollar colabora_ti_va_mente   ',0,1,1,1,2,1,1,0,0,1,0,0
positiva,tarea,'Nico Bidone','si querer ir adelantar yo ir uno hora asomemos para cumplir y volver ',0,1,1,1,6,1,2,0,1,0,0,0
positiva,tarea,'','ir hacer el que estar ! ',0,0,1,0,3,1,0,0,0,1,0,0
positiva,tarea,'','sino no se que otro momento poder ',0,1,1,1,1,1,2,0,0,0,0,0
positiva,tarea,'','me dar el mismo   ',1,0,1,0,1,1,0,0,0,1,0,0
positiva,tarea,'','y yo hoy poder , mañana después de el [??:??/??/??:7.00:pm] no poder porque viajar ',0,4,1,0,3,1,2,0,1,1,0,1
positiva,tarea,'','hoy tipo 2200 ? ',0,1,0,1,0,0,0,0,0,1,1,0
positiva,tarea,'','no tener drama , ni hoy ni manano a el manano ',0,3,1,2,2,0,1,0,1,1,0,0
positiva,tarea,'','pico vos podar ?   ',0,0,0,1,1,1,0,0,0,2,0,0
positiva,tarea,'','cual de el 2 ? ',0,0,1,0,0,1,0,0,1,1,1,0
positiva,tarea,'Nico Bidone','mañana a el 2200 ? ',0,1,1,0,0,0,0,0,1,1,1,0
positiva,tarea,'','hoy a el 22:00   ',0,1,1,0,0,0,0,0,1,1,1,0
positiva,tarea,'','bueno entonces arrancar hoy a el 2200 y ver hasta donde llegar ',0,2,1,0,3,1,1,1,2,0,1,0
positiva,tarea,'','y sino terminar seguir mañana a el mañana le parecer ¿ ',0,1,1,1,3,1,2,0,1,1,0,0
positiva,tarea,'Nico Bidone','che uno cosa ',0,0,1,1,0,0,0,1,0,0,0,0
positiva,tarea,'Nico Bidone','preguntar q onda con el de el juego ? ',0,0,2,2,1,0,1,0,2,1,0,0
positiva,tarea,'','vos no jugar hoy a el 2100 lastare ? ',0,2,1,1,1,1,0,0,1,1,1,0
negativa,tarea,'','yo no preguntar , pero uno amigo no lograr ganar y le decir que no importar ',0,3,1,1,5,2,3,0,0,1,0,0
positiva,tarea,'','me quedar con el gana , si saber alguno partido me prendar ',0,1,1,2,3,2,1,0,1,1,0,0
positiva,tarea,'Nico Bidone','a genial me quedar tranquilo ',2,0,0,0,1,1,0,0,1,0,0,0
positiva,tarea,'','che cuando le faltar uno avisar ! ! ',0,0,0,0,2,2,1,1,0,2,0,0
positiva,tarea,'','faltar el otro ',0,0,1,0,1,1,0,0,0,0,0,0
positiva,tarea,'','che yo decir a el 10 por que me acorde que jugar , no preferir a el 2100 así no se nos hacer tan tarde después ? ',1,5,2,1,4,6,0,1,3,2,2,0
positiva,tarea,'','me dar el mismo ',1,0,1,0,1,1,0,0,0,0,0,0
positiva,tarea,'','me dar igual ',0,1,0,0,1,1,0,0,0,0,0,0
positiva,tarea,'Nico Bidone','para mi ser el mismo ',1,0,2,0,1,0,0,0,1,0,0,0
positiva,tarea,'','sino ya me ver a el 1 hacer el trabajo ! ',0,1,2,1,2,1,1,0,1,1,1,0
positiva,tarea,'','lamias avisa le a vede   ',0,0,0,2,1,1,0,0,1,1,0,0
positiva,tarea,'Nico Bidone','ser uno posibilidad ',0,0,1,1,1,0,0,0,0,0,0,0
positiva,tarea,'','bueno nos hablar entonces ! ! ',0,1,0,0,1,1,0,1,0,2,0,0
positiva,tarea,'','me ir a dormir que terminar fulminar después de rendir . . ',0,1,0,0,5,1,1,0,2,2,0,0
positiva,tarea,'','que rendir ?   ',0,0,0,0,1,0,1,0,0,2,0,0
positiva,tarea,'','bueno nos hablar mas tarde ! ',1,0,0,1,1,1,1,0,0,1,0,0
positiva,tarea,'','adid os ! ',0,0,0,0,1,1,0,0,0,1,0,0
positiva,tarea,'','bueno , ahora si , estar todo ? ',0,1,0,0,1,1,1,1,0,3,0,0
positiva,tarea,'','estar ! ',0,0,0,0,1,0,0,0,0,1,0,0
positiva,tarea,'','faltar sede ',0,0,0,1,1,0,0,0,0,0,0,0
positiva,tarea,'','el 4 tipo básico de agente , en orden creciente de generalidad ser :  ',2,0,1,4,1,0,0,0,3,3,1,0
positiva,tarea,'','agente simple reflejo  ',1,0,0,2,0,0,0,0,0,1,0,0
positiva,tarea,'','agente reflejo con estado  ',1,0,0,2,0,0,0,0,1,1,0,0
positiva,tarea,'','agente basar en getas  ',0,0,0,2,1,0,0,0,1,1,0,0
positiva,tarea,'','agente basar en utilidades ',0,0,0,2,1,0,0,0,1,0,0,0
positiva,tarea,'','todo ellos poder convertir se en agente con aprendizaje .     ',0,0,0,2,2,3,0,0,2,3,0,0
positiva,tarea,'','ese ser el tipo de agente que existir   ',0,0,1,2,2,2,0,0,1,1,0,0
positiva,tarea,'','ir primero con el definición ',0,1,1,1,1,0,0,0,1,0,0,0
positiva,tarea,'','yo encontró otro cosa ',0,0,1,1,1,1,0,0,0,0,0,0
negativa,tarea,'','si , pasar que como no lo encontrar me meter en uno montón de paginar y no decir mucho de el tipo   ',0,3,2,2,5,2,4,0,3,2,0,0
negativa,tarea,'','ser uno entidad capaz de percibir su entorno , procesar tal percepción y responder o actuar en su entorno de manera racional , ser decir , de manera correcto   ',3,0,4,6,7,0,2,0,4,4,0,0
negativa,tarea,'','uno agente ser cualquiera cosa capaz de percibir su medioambiental mediante sensor y actuar en ese medio mediante actuador . ',1,0,4,6,3,0,1,0,4,1,0,0
positiva,tarea,'','todo agente tener uno función o objetivo .   ',0,0,2,3,1,0,1,0,0,2,0,0
negativa,tarea,'','me gustar mas el 1 ',1,0,1,0,1,1,1,0,0,0,0,0
negativa,tarea,'','osen uno agente ser uno entidad capaz de percibir su entorno , procesar lo y realizar uno accione con uno objetivo ',1,0,5,5,5,1,1,0,2,1,0,0
positiva,tarea,fedemillo.93@gmail.com,'igual haber que armar la ',0,1,0,0,2,1,1,0,0,0,0,0
positiva,tarea,'','claro ah tirar a el final ',0,2,1,1,1,0,0,0,1,0,0,0
positiva,tarea,fedemillo.93@gmail.com,'no ser comido dalia ',0,1,0,1,2,0,0,0,0,0,0,0
positiva,tarea,'','si querer ir tirar en el dock y ir armando la entre todo ',0,0,2,1,5,1,2,0,2,0,0,0
positiva,tarea,'','haber mucho definición de mucho autor   ',0,0,2,2,1,0,0,0,1,1,0,0
positiva,tarea,fedemillo.93@gmail.com,'claro , leer y armar uno ',0,1,1,0,2,0,1,0,0,1,0,0
positiva,tarea,'','si pero bueno hacer el que nos parecer ',1,0,1,0,2,2,2,0,0,0,0,0
positiva,tarea,'','uno agente ser uno sistema ',0,0,2,2,1,0,0,0,0,0,0,0
positiva,tarea,'','capaz de tomar ',1,0,0,0,1,0,0,0,1,0,0,0
positiva,tarea,'','autónomo de acuerdo a el ',1,0,1,1,0,0,0,0,2,0,0,0
positiva,tarea,'','de el ambiente para cumplir su ',0,0,2,1,1,0,0,0,2,0,0,0
negativa,tarea,'','este no significar que el agente tener dominio completo de el ambiente , por_el_contrario en el mayoría de situación este ser muy complejo y el agente solo tener uno ',3,3,5,6,4,2,2,0,3,1,0,0
positiva,tarea,'','parcial de este . ',1,0,1,0,0,0,0,0,1,1,0,0
