@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,tarea,'Camila Robles','yo escribir el decisión por el que pasar ',0,0,2,1,2,2,0,0,1,0,0,0
?,socio-emocional,'','si ese seguro ',0,1,0,0,0,1,1,0,0,0,0,0
?,tarea,'','ir si o si ',0,0,0,0,1,0,3,0,0,0,0,0
?,tarea,'','ah lo poner ',0,1,0,0,1,1,0,0,0,0,0,0
?,socio-emocional,'','cuanto mucho después lo sacar ',0,3,0,0,1,1,0,0,0,0,0,0
?,socio-emocional,'Camila Robles','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,tarea,'','che yo flashes pero no faltar balto y luces ',0,1,0,2,2,1,2,1,0,0,0,0
?,tarea,'','o luces este leer ? ? ',0,0,0,1,1,1,1,0,0,2,0,0
?,tarea,'','faltar , pero estar agregar imagines y ese ',0,0,0,1,3,1,2,0,0,1,0,0
?,socio-emocional,'','no ser que estar hacendar nada loco ',1,2,0,0,3,1,0,0,0,0,0,0
?,tarea,'','o cambiar el diseño ',0,0,1,1,1,0,1,0,0,0,0,0
?,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,socio-emocional,'','n n obvio ',1,0,0,2,0,0,0,0,0,0,0,0
?,tarea,'','por mi n ese ',0,0,1,1,0,1,0,0,1,0,0,0
?,tarea,'','igual de por si el informar no tener nada de loco en general ',1,2,1,1,2,1,1,0,4,0,0,0
?,tarea,'','excepto_que discutir el tipo de letra a usar ( ? ',0,0,1,2,2,0,1,0,2,2,0,0
?,tarea,'','ah este yucas ',0,1,1,1,0,0,0,0,0,0,0,0
?,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,tarea,'','el fin poder entrar a el dock ',0,0,2,2,2,0,0,0,1,0,0,0
?,tarea,'','hoy mi pi andar especial_mente lento   ',1,2,1,1,1,0,0,0,0,1,0,0
?,socio-emocional,'Camila Robles','faja no haber problema ',0,1,0,1,1,0,0,1,0,0,0,0
?,tarea,'','oler a formateo ese ',0,0,0,1,1,1,0,0,1,0,0,0
?,tarea,'','oler * ',0,0,0,0,1,0,0,0,0,1,0,0
?,socio-emocional,'Camila Robles','bueno . ',0,0,0,0,0,0,0,1,0,1,0,0
?,tarea,'Camila Robles','yucas llegar a leer el de el escenario de calidad ? ',0,0,2,3,2,0,0,0,3,1,0,0
?,tarea,'','ser por ser [G:??/??/??:??.??:??] ',0,0,0,1,2,0,0,0,0,0,0,1
?,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,socio-emocional,'','no , ahora el leo ',0,2,1,1,0,0,0,0,0,1,0,0
?,tarea,'','agregar alguno escenario ? ',0,1,0,1,1,0,0,0,0,1,0,0
?,socio-emocional,'','no ',0,1,0,0,0,0,0,0,0,0,0,0
?,tarea,'','sotavente hablar de hacer lo ',0,1,0,0,2,1,0,0,1,0,0,0
?,socio-emocional,'','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
?,tarea,'Camila Robles','haber pensar poner el c_han_ges_t_y_le ',0,0,1,1,3,0,0,0,0,0,0,0
?,socio-emocional,'Camila Robles','como atributo de modifica_bi_l_ida_d ',0,0,0,2,0,0,1,0,1,0,0,0
?,socio-emocional,'','ah yo lo buscar en el dock jajay ',0,0,1,1,1,2,0,2,1,0,0,0
?,socio-emocional,'','perdoné ',0,0,0,1,0,0,0,0,0,0,0,0
?,socio-emocional,'','si , ese el leu ',0,0,1,1,0,1,1,0,0,1,0,0
?,socio-emocional,'','me parecer bien ',0,1,0,0,1,1,0,0,0,0,0,0
?,tarea,'','ese y también podrir ser agregar uno elemí nuevo ',1,0,1,2,3,1,1,0,0,0,0,0
?,tarea,'','uno estilo o uno accione ',0,0,2,2,0,0,1,0,0,0,0,0
?,tarea,'','che uno dual aparte_de ese ',0,0,1,1,0,1,0,1,1,0,0,0
?,tarea,'','le ir usar el templa te para el atributo de calidad ? ',0,0,2,2,3,2,0,0,2,1,0,0
?,tarea,'','duda * ',0,0,0,1,0,0,0,0,0,1,0,0
?,tarea,'','si decir para el escenario ',0,0,1,2,0,0,1,0,1,0,0,0
