@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
respuesta,tarea,'Cada uno lea, e investigue, que respuesta iría en cada incizo, es más si quieren hagan hojas nuevas y anoten lo más breve que puedan ahí sus respuestas.'
respuesta,tarea,'Después cuando estemos todos lo mergeamos, y si nos desencontramos lo hacemos mediante comentarios para saber qué opina el otro.'
respuesta,tarea,'De esa manera todos estamos haciendo un poco de cada incizo, y cooperamos para cada resultado.'
positiva,socio-emocional,'bue, nos vemos el 2 y 3'
positiva,socio-emocional,buenisimo
positiva,socio-emocional,'a los dos'
respuesta,tarea,'Abajo no te aparece quién está conectado, te aparecen quienes ya leyeron lo último que se escribió'
respuesta,tarea,'al trabajo anterior'
positiva,socio-emocional,buenisimo
positiva,socio-emocional,buenisimo
positiva,socio-emocional,'bueno yo sigo mañana'
respuesta,tarea,'bueno, vayamos mirando los otros 2, y todo lo que encontremos del 3 genial.'
positiva,socio-emocional,'Nos vemos mañana'
positiva,socio-emocional,bueno
positiva,socio-emocional,'che, muy util los links de diego'
positiva,socio-emocional,'claro algo asi'
respuesta,tarea,'como hoy ponele tipo 7 y media'
positiva,socio-emocional,Cool
positiva,socio-emocional,'dale dale, nos vemoss'
positiva,socio-emocional,'dale dale'
positiva,socio-emocional,'dale. saludos'
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,'Disculpen la tardanza.'
respuesta,tarea,'Estoy volviendo de la facu.'
respuesta,tarea,'Me hicieron esperar más de costumbre Jaja'
positiva,socio-emocional,'disculpen q estuve desaparecido, es q tengo q reentregar el compilador en un rato ?'
respuesta,tarea,'el mail no, ya lo tienen, los integrantes ya los puse'
respuesta,tarea,'El Razonamiento Basado en Casos, es un paradigma de resolución de problemas con acercamientos de la inteligencia artificia.'
respuesta,tarea,'eso entiendo yo'
respuesta,tarea,'esta el 3 y despues el dos'
positiva,socio-emocional,'estan caratureandolo'
respuesta,tarea,'estan los dominios de aplicacion en dibujitos'
pregunta,tarea,'este seria el anteultimo trabajo no?'
pregunta,tarea,'estoy buscando pero no encuentro una buena explicacion para las que dijo mateo. de donde las sacaste ?(mineria de datos y procesamiento de lenguaje )'
respuesta,tarea,fin.
positiva,socio-emocional,genia-
positiva,socio-emocional,genial
positiva,socio-emocional,'hay cosas que siempre las digo en inglés, porque se pierden en las traducciones, mala mía (sigo enfermo y cansado jaja)'
positiva,socio-emocional,'Hey, chicos, sorry que cuelgue, ando con fiebre y anginas, pero vengo trabajando al palo igual, así que no se preocupen <3.'
positiva,socio-emocional,'Qué calorete eh'
positiva,socio-emocional,'hola gente, disculpen la tardansa'
positiva,socio-emocional,'jaj por ahora no me enojé, he trabajado con gente que aparecía cada 30 minutos a decir: \"esto no me gusta\", \"está todo mal\", \"no vamos a entregar así\", \"así no\"'
positiva,socio-emocional,'jaja perdon como q reicen entro estoy medio perdido'
respuesta,tarea,'José la agregó, pero porque le dijimos que estaba linda'
positiva,socio-emocional,joya
respuesta,tarea,'la diferencia es q la otra vez lo hicimos por el chat del drive y ahora nos piden q lo hagamos por ak'
respuesta,tarea,'La idea de CBR es, al recibir un problema, es buscar soluciones a problemas similares y brindar tal como respuesta'
positiva,socio-emocional,'listo nos vemos'
positiva,socio-emocional,'listo, nos vemos'
respuesta,tarea,'Machine learning es un mundo gigante chicos, traten de recordar lo que hicieron en el trabajo pasado y van a ver que están generalizando mal'
positiva,socio-emocional,'me arrepentí'
positiva,socio-emocional,'me fijo, no te aseguro que quede bien ?'
positiva,socio-emocional,'me fui, adio!'
positiva,socio-emocional,'me fui'
positiva,socio-emocional,'me fui'
positiva,socio-emocional,'No dije nada'
positiva,socio-emocional,'no me sonaba en español, perdón'
respuesta,tarea,'No se por qué te mareás en decir \"LE PASA LA MISMA BASE DE DATOS MAS ESO\", osea, estamos en una definición'
respuesta,tarea,'no todo lo que hay en internet tiene que ser cierto o reflejar lo que nosotros aprendimos debatiendo'
respuesta,tarea,'no, no podés porque es algo de cada uno, a menos que seas un hacker (?, además te están leyendo todo'
positiva,socio-emocional,'nos vemos saludos'
positiva,socio-emocional,'nos vemos'
positiva,socio-emocional,'perdon recien llego'
positiva,socio-emocional,'perdon, no pobre, pero hay q agregar'
positiva,socio-emocional,Perdon!
positiva,socio-emocional,perdon
positiva,socio-emocional,perdon
positiva,socio-emocional,perfecto
respuesta,tarea,'pero si estas usando razonamiento basado en casos la base de datos ya clasifica con que se corresponde cada hecho, entonces cuano quieras consultar un caso nuevo ya vas a tener la relacion en la base de datos'
respuesta,tarea,'por ahora no!'
respuesta,tarea,'por lo que entendi es como que el RBC abstrae los problemas resueltos para ver si son compatibles con el que necesita resolver, puede ser?'
respuesta,tarea,'porque por hay parte de una solucion, deduce las nuevas, y es como una definicion recursiva despues'
positiva,socio-emocional,'si como que busca entre las soluciones viejas, una que sirva o sea parecida para solucionar una nueva..y esa nueva la guarda en la base para que sirva a otras'
positiva,socio-emocional,'Si está activa significa que está en la ventana, si está media opaca que ya leyó'
positiva,socio-emocional,'si pq podes unficarlo con una sola variable, y el resto puede ser que se instancie con los valores que estan guardados en la base'
positiva,socio-emocional,'si te enseño un par, y te cambio los números vas a ver algo similar en las que ya hiciste'
positiva,socio-emocional,'si yo lei esos y uno mas'
respuesta,tarea,'sin los parentesis ya no sabes de que habla'
respuesta,tarea,'solamente avisaron del nuevo grupo.'
respuesta,tarea,'tiene que arrancar sabiendo'
respuesta,tarea,'y retain es cuando guardamos esta nueva solucion'
respuesta,tarea,'yo en 10 me tengo que ir..'
respuesta,tarea,'yo me voy a dormri mañana trabajo'
pregunta,tarea,'?'
respuesta,tarea,'chicos yo estoy igual que renzo, rindo con el jaj..hasta las 5 no creo que llegue'
negativa,socio-emocional,'Diego no hagas eso'
negativa,socio-emocional,'está mal el segundo párrafo, hay un montón de cosas implícitas que en el contexto ese no se notan'
