@relation chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Llast

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string

@data
positiva,socio-emocional,Roberto,'Dale dale, joya.'
positiva,socio-emocional,Pedro,bárbaro
positiva,socio-emocional,Pedro,'Dale, por mi no hay problema.'
positiva,socio-emocional,Roberto,gracias
positiva,socio-emocional,Pedro,'Buen día gente.'
negativa,socio-emocional,María,'(re ortiva)'
positiva,socio-emocional,Roberto,'Buen dia'
positiva,socio-emocional,Ramiro,'Se, posta.'
positiva,socio-emocional,Juan,buenas
positiva,socio-emocional,Juan,'buenas buenas'
positiva,socio-emocional,Pedro,'como estas?'
positiva,socio-emocional,María,'Buenas buenas'
positiva,socio-emocional,Juan,buenassss!!
positiva,socio-emocional,Ramiro,hola!!!!!!
positiva,socio-emocional,Roberto,'Hola hola'
positiva,socio-emocional,Roberto,'somo un parrr'
positiva,socio-emocional,Pedro,'Dale, ni idea yo le mande los numeros para identificar que cosa respondia que, pero si se puede armar todo junto lo hacemos mas tipo informe'
