@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
3,'Mariano Cocirio ','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
1,'Mariano Pardo ','hola ! ! ',0,0,0,0,0,0,0,1,0,2,0,0
1,'Eddie ','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
3,'Mariano Cocirio ','como andar ? ',0,0,0,0,1,0,1,0,0,1,0,0
4,'Mariano Cocirio ','che zariano , cuando poder fija te en el dock el comentario que seamos arreglar para juntar nos a hacer lo : ) ',0,0,2,4,6,3,1,1,3,3,0,0
1,'Eddie ','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
3,'Eddie ','alguno por allí ? ',0,1,0,0,0,1,0,0,1,1,0,0
6,'Eddie ','tener gana de ir hacer algo de el TP5 ? ',0,0,1,1,3,1,0,0,2,1,1,0
6,'Eddie ','recién leer el comenta en el drive . ',0,0,2,3,1,0,0,0,1,1,0,0
4,'Eddie ','a el tarde ir hacer algo ! ',0,1,1,1,2,0,0,0,1,1,0,0
3,'Eddie ','alune ! ',0,0,0,1,0,0,0,0,0,1,0,0
6,'Matias ','odie ha añadir a matias_berrutti a el conversación . ',0,0,1,3,1,0,0,1,2,1,0,0
3,'Matias ','bueno a todo ',1,0,1,0,0,0,0,0,1,0,0,0
8,'Matias ','si querer ir charlar uno boquita ',0,0,1,0,3,1,1,0,0,0,0,0
7,'Matias ','por el q entendió , cuando nos \" retar \" ',0,0,1,0,2,2,1,0,1,3,0,0
6,'Matias ','ser porque colorativo ser , tipo desarmar el problema en parte y cada cual hacer uno parte ',1,0,3,4,4,1,2,0,1,1,0,0
3,'Matias ','pero no necesaria_mente se discutir entre todo ',0,2,1,0,1,1,1,0,1,0,0,0
3,'Mariano Cocirio ','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
6,'Matias ','o ese ser cooperativo ? = ',1,0,0,0,1,1,1,0,0,2,0,0
1,'Matias ','hola ',0,1,0,0,0,0,0,0,0,0,0,0
3,'Mariano Cocirio ','me bancal 15-20 y estar ? ',0,0,0,1,1,1,1,0,0,1,1,0
3,'Matias ','sisés ',0,1,0,0,0,0,0,0,0,0,0,0
6,'Mariano Cocirio ','tener que ir a llevar uno cosa , para el 19 estar acá ? ',0,0,2,2,4,0,1,0,2,2,1,0
6,'Matias ','yo empecen a tirar idea nomás ',1,0,0,2,1,1,0,0,1,0,0,0
6,'Matias ','hacer tranquil ',0,0,0,0,2,0,0,0,0,0,0,0
2,'Mariano Cocirio ','tener que ir a llevar uno bomba a el intia ( ? ) jajay ',0,0,2,2,3,0,1,1,2,3,0,0
2,'Matias ','j_aja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
3,'Matias ','por ? ? ',0,0,0,0,0,0,0,0,1,2,0,0
