@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
3,'melisa ','recibir ! ',0,0,0,0,1,0,0,0,0,1,0,0
3,'Muro ','yo también ! ',0,1,0,0,0,1,0,0,0,1,0,0
4,'Muro ','le molestar si poner algo y lo ir ver entre todo . ',0,0,0,0,4,4,2,0,1,1,0,0
3,'Muro ','? ',0,0,0,0,0,0,0,0,0,1,0,0
3,'Muro ','como para empezar . . ',0,0,0,0,1,0,1,0,1,2,0,0
1,'Braian ','hola chico ! ',0,0,0,1,0,0,0,1,0,1,0,0
6,'Braian ','recibir el dock ',0,0,1,1,1,0,0,0,0,0,0,0
1,'Braian ','no , yo no tener problema . ',0,2,0,1,1,1,0,0,0,2,0,0
4,'Braian ','tener pensar agregar algo de el 1 ? ',0,0,1,0,3,1,0,0,1,1,1,0
6,'Muro ','tisis ir a hacer algo de el 1 . . ',0,0,1,1,2,1,0,0,2,2,1,0
6,'Muro ','estar leer ya uno poco . . ',0,1,1,0,2,1,0,0,0,2,0,0
3,'Muro ','por ese . . ',0,0,0,0,0,1,0,0,1,2,0,0
6,'Braian ','da le bárbaro , yo ir a investigar de el tema así poder ir armar el otro ',0,1,3,2,6,2,0,0,2,1,0,0
3,'Muro ','tisis . . ',0,0,0,1,0,0,0,0,0,2,0,0
6,'Muro ','igual entre todo ir haciendo lo . . ',0,1,0,0,2,2,0,0,1,2,0,0
6,'Muro ','yo para poder tener uno punto de partida . ',0,0,1,2,2,1,0,0,2,1,0,0
1,'Muro ','y ir aportar entre todo ',0,0,1,0,2,0,1,0,1,0,0,0
6,'Braian ','siso obvio , ir agregar / medicando cosa entre todo ',1,0,1,2,3,0,0,0,1,2,0,0
3,'Muro ','? ',0,0,0,0,0,0,0,0,0,1,0,0
1,'Muro ','chico . . ',0,0,0,1,0,0,0,0,0,2,0,0
6,'Muro ','ahí hacer algo . . ',0,1,0,0,1,1,0,0,0,2,0,0
6,'Muro ','yo ahora me tener que ir . . ',0,1,0,0,2,2,1,0,0,2,0,0
6,'Muro ','pero a el noche me meter de nuevo . . ',1,0,1,1,1,1,1,0,2,2,0,0
8,'Muro ','tientan se libre de modificar cualquiera cosa que no le gustar o no le parecer correcto . . ',2,2,1,1,4,4,1,0,1,2,0,0
3,'Braian ','barbaron maure , mirar el que poner y el idea estar bien ',1,1,2,2,3,1,1,0,0,1,0,0
6,'Muro ','ahí hacer igual uno comentario en el 12 . . ',0,2,2,1,1,0,0,0,1,2,1,0
3,'Muro ','tos ',0,0,0,1,0,0,0,0,0,0,0,0
3,'Muro ','? ',0,0,0,0,0,0,0,0,0,1,0,0
6,'Braian ','ahora ir a agregar uno par de ejemplo mas para el 2 ',0,1,2,2,2,0,1,0,3,0,1,0
3,'Muro ','skas . . ',0,0,0,1,0,0,0,0,0,2,0,0
3,'Muro ','a el noche me conectar . . ',0,0,1,1,1,1,0,0,1,2,0,0
1,'Muro ','saludos ! ',0,0,0,1,0,0,0,0,0,1,0,0
3,'Braian ','da le buen_is_i_m_o ',0,1,0,0,1,1,0,0,0,0,0,0
1,'Braian ','saludo ! ',0,0,0,1,0,0,0,0,0,1,0,0
6,'Rodrigo ','recién ver que me mandar el mal , a el noche también me conectar para leer bien y ese ! ',0,1,2,3,5,3,2,0,2,2,0,0
3,'Hernan ','recibir ! ! ',0,0,0,0,1,0,0,0,0,2,0,0
4,'Hernan ','ahora me poner a ver que poder encontrar y ir armar ',0,1,0,0,6,1,2,0,1,0,0,0
6,'Hernan ','listo gente , encontró información bastante bueno en uno papera que tener bastante bueno de el tema ... ',2,2,2,4,2,1,0,1,2,2,0,0
8,'Hernan ','leer el comentario que hacer y el información que agregar , a ver que le parecer que haber que completar ( haber cosa para corregir ) y que cosa haber que agregar da le ? ? , ya lo ir redondear de a poco . ',0,1,2,4,14,7,6,0,4,7,0,0
3,'Braian ','da le hernian , ahora lo mirar ',0,1,0,0,3,2,0,0,0,1,0,0
1,'Muro ','hola chico . . ',0,0,0,1,0,0,0,1,0,2,0,0
6,'Muro ','estar leer el dock ',0,0,1,1,2,0,0,0,0,0,0,0
5,'Muro ','el 1 punto me parecer que este bueno . . ',2,0,2,1,1,1,1,0,0,2,0,0
6,'Muro ','pero en el punto 2 . . ',0,0,1,1,0,0,1,0,1,2,1,0
6,'Muro ','no ser muy excesivo poner 8 ejemplo . ? ',1,2,0,1,2,0,0,0,0,2,1,0
6,'Muro ','onda que nos pedir 3 . ',0,0,0,1,1,2,0,0,0,1,1,0
4,'Muro ','yo poner 3 nomás , sin clasificar los . . ',1,0,0,0,2,2,0,0,1,3,1,0
